ticket,cohort,person_id,household_id,name_transcribed,name_normalized,stratum,seed_source_id,seed_source_date,letter_list_dates,research_outcome,identity_confidence,residence_confidence,household_confidence,occupation_confidence,candidate_ids,proposed_birth,proposed_death,proposed_arrival_migration,proposed_occupation_trade,proposed_address_property,proposed_spouse_kin,proposed_civic_voter_census,proposed_household_facts,evidence_for,evidence_against,source_ids,source_urls_locators,source_tiers,queries,access_dates,source_limitations,recommended_data_action,notes
T-0442,1,carpenter_philo,hh_carpenter_philo,Philo Carpenter,Philo Carpenter,established_profile,andreas_1884_v1; calumet_club_early_chicago_1879; chicago_democrat_1833_11_26; chicago_tribune_1882_05_19_fourth_reception; chicago_voter_lists_1833_1835_irad; fergus_chicago_directory_1839,,,corroborated_enrichment,corroborated,present (inferred),existing canonical household; composition not re-adjudicated in T-0442,druggist (attested),,,,,,,,,,"The Encyclopedia of Chicago independently corroborates Carpenter's 1832 arrival and his standing as Chicago's first druggist, but supplies no safer household composition for July 1835.",,encyclopedia_chicago_medical_pharmaceutical,"encyclopedia_chicago_medical_pharmaceutical: https://www.encyclopedia.chicagohistory.org/pages/806.html — opening paragraph, Philo Carpenter",encyclopedia_chicago_medical_pharmaceutical:4,"""Philo Carpenter"" Chicago 1835 | ""Philo Carpenter"" Illinois genealogy",2026-08-31,encyclopedia_chicago_medical_pharmaceutical: Corroborates Carpenter's 1832 arrival and early drug business; does not supply a July 1835 household roster.,T-0487 adjudication; T-0488 attested promotion where independently supported,No candidate fact is asserted unless a source bridges the candidate to the 1835 Chicago record by more than name similarity.
T-0442,1,caton_john_dean,hh_caton_john_dean,John Dean Caton,John Dean Caton,established_profile,andreas_1884_v1; calumet_club_early_chicago_1879; chicago_tribune_1882_05_19_fourth_reception; chicago_voter_lists_1833_1835_irad; fergus_chicago_directory_1839,,,corroborated_enrichment,corroborated,present (inferred),existing canonical household; composition not re-adjudicated in T-0442,attorney (attested),,,,,,,,,,"An Illinois Courts institutional biography independently places Caton in Chicago in 1833 and as a justice of the peace in 1834; it gives his birth as 19 March 1812 in Monroe, New York.",,illinois_courts_caton_biography,illinois_courts_caton_biography: https://www.illinoiscourts.gov/courts/supreme-court/illinois-supreme-court-justices/ — John Dean Caton biography,illinois_courts_caton_biography:4,"""John Dean Caton"" Chicago 1835 | ""John Dean Caton"" Illinois genealogy",2026-08-31,"illinois_courts_caton_biography: Institutional retrospective. It identifies Caton by full name and legal career; used to corroborate birth and early Chicago chronology, not household composition.",T-0487 adjudication; T-0488 attested promotion where independently supported,No candidate fact is asserted unless a source bridges the candidate to the 1835 Chicago record by more than name similarity.
T-0442,1,dole_george_w,hh_dole_george_w,George Washington Dole,George Washington Dole,established_profile,andreas_1884_v1; chicago_democrat_1833_11_26; chicago_democrat_1833_1835; chicago_voter_lists_1833_1835_irad; fergus_chicago_directory_1839; isa_public_domain_land_tract_sales,,,corroborated_enrichment,corroborated,present (attested),existing canonical household; composition not re-adjudicated in T-0442,forwarding_and_commission (attested),,,,,,,,,,"The Encyclopedia of Chicago biographical index identifies George W. Dole as born 29 February 1800 in Troy, New York. Birthplace is not substituted for the record's immediate pre-Chicago origin.",,encyclopedia_chicago_biographical_index_d,encyclopedia_chicago_biographical_index_d: https://www.encyclopedia.chicagohistory.org/browse/bioD.html — George W. Dole entry,encyclopedia_chicago_biographical_index_d:4,"""George Washington Dole"" Chicago 1835 | ""George Washington Dole"" Illinois genealogy",2026-08-31,encyclopedia_chicago_biographical_index_d: Modern scholarly encyclopedia index. Birthplace is kept distinct from the household record's immediate origin before Chicago.,T-0487 adjudication; T-0488 attested promotion where independently supported,No candidate fact is asserted unless a source bridges the candidate to the 1835 Chicago record by more than name similarity.
T-0442,1,egan_william_b,hh_egan_william_b,Dr William Bradshaw Egan,Dr William Bradshaw Egan,established_profile,andreas_1884_v1; chicago_voter_lists_1833_1835_irad; fergus_chicago_directory_1839,,,no_corroboration,unresolved / no safe external match,present (inferred),existing canonical household; composition not re-adjudicated in T-0442,physician (attested),,,,,,,,,,"No reliable record found in the reviewed web, institutional-history, digitized-book, newspaper-index and genealogy-finding-aid searches could be tied to this 1835 Chicago person without relying on the name alone.",,,,,"""Dr William Bradshaw Egan"" Chicago 1835 | ""Dr William Bradshaw Egan"" Illinois genealogy",2026-08-31,Candidate and no-find decisions are bounded by the sources searched; name similarity alone was not accepted as identity evidence.,retain documented no-find; revisit only with new evidence,No candidate fact is asserted unless a source bridges the candidate to the 1835 Chicago record by more than name similarity.
T-0442,1,hubbard_gurdon,hh_hubbard_gurdon,Gurdon Saltonstall Hubbard,Gurdon Saltonstall Hubbard,established_profile,andreas_1884_v1; calumet_club_early_chicago_1879; census_1840_chicago_familysearch_images; chicago_american_1835; chicago_democrat_1833_1835; chicago_voter_lists_1833_1835_irad; fergus_chicago_directory_1843; norris_directory_1844,,,no_corroboration,unresolved / no safe external match,present (inferred),existing canonical household; composition not re-adjudicated in T-0442,packer (attested),,,,,,,,,,"No reliable record found in the reviewed web, institutional-history, digitized-book, newspaper-index and genealogy-finding-aid searches could be tied to this 1835 Chicago person without relying on the name alone.",,,,,"""Gurdon Saltonstall Hubbard"" Chicago 1835 | ""Gurdon Saltonstall Hubbard"" Illinois genealogy",2026-08-31,Candidate and no-find decisions are bounded by the sources searched; name similarity alone was not accepted as identity evidence.,retain documented no-find; revisit only with new evidence,No candidate fact is asserted unless a source bridges the candidate to the 1835 Chicago record by more than name similarity.
T-0442,1,garrett_a,hh_garrett_a,A. Garrett,A. Garrett,newspaper_profile_unplaced,chicago_american_1835; chicago_democrat_1833_1835; isa_public_domain_land_tract_sales,,,candidate_identity,candidate — unasserted,present (inferred),existing canonical household; composition not re-adjudicated in T-0442,auctioneer (attested),cand_augustus_garrett__garrett_a,,,,,,,,,"A strong candidate is Augustus Garrett, an early Chicago auctioneer later elected mayor. The project record prints only an initial, so the candidate is not merged without an independent initials-to-name bridge.",The 1835 newspaper record gives only A. Garrett.,cpl_augustus_garrett_biography,cpl_augustus_garrett_biography: https://www.chipublib.org/mayor-augustus-garrett-biography/ — biographical text,cpl_augustus_garrett_biography:4,"""A. Garrett"" Chicago 1835 | ""A. Garrett"" Illinois genealogy",2026-08-31,cpl_augustus_garrett_biography: Institutional retrospective and a strong identity lead for A. Garrett; the full identity is not asserted because the 1835 record prints only an initial.,retain candidate unasserted; resolve in T-0487 before any canonical identity change,No candidate fact is asserted unless a source bridges the candidate to the 1835 Chicago record by more than name similarity.
T-0442,1,king_byram,hh_king_byram,Byram King,Byram King,newspaper_profile_unplaced,chicago_democrat_1833_1835,,,no_corroboration,unresolved / no safe external match,present (inferred),existing canonical household; composition not re-adjudicated in T-0442,hardware_merchant (attested),,,,,,,,,,"No reliable record found in the reviewed web, institutional-history, digitized-book, newspaper-index and genealogy-finding-aid searches could be tied to this 1835 Chicago person without relying on the name alone.",,,,,"""Byram King"" Chicago 1835 | ""Byram King"" Illinois genealogy",2026-08-31,Candidate and no-find decisions are bounded by the sources searched; name similarity alone was not accepted as identity evidence.,retain documented no-find; revisit only with new evidence,No candidate fact is asserted unless a source bridges the candidate to the 1835 Chicago record by more than name similarity.
T-0442,1,thrall_e_l,hh_thrall_e_l,E. L. Thrall,E. L. Thrall,newspaper_profile_unplaced,chicago_democrat_1833_1835; fergus_chicago_directory_1839,,,no_corroboration,unresolved / no safe external match,uncertain (inferred),existing canonical household; composition not re-adjudicated in T-0442,clothier (attested),,,,,,,,,,"No reliable record found in the reviewed web, institutional-history, digitized-book, newspaper-index and genealogy-finding-aid searches could be tied to this 1835 Chicago person without relying on the name alone.",,,,,"""E. L. Thrall"" Chicago 1835 | ""E. L. Thrall"" Illinois genealogy",2026-08-31,Candidate and no-find decisions are bounded by the sources searched; name similarity alone was not accepted as identity evidence.,retain documented no-find; revisit only with new evidence,No candidate fact is asserted unless a source bridges the candidate to the 1835 Chicago record by more than name similarity.
T-0442,1,fowler_elmira,hh_fowler_elmira,Elmira Fowler,Elmira Fowler,newspaper_profile_unplaced,chicago_democrat_1833_1835,,,no_corroboration,unresolved / no safe external match,uncertain (inferred),existing canonical household; composition not re-adjudicated in T-0442,dressmaker (attested),,,,,,,,,,"No reliable record found in the reviewed web, institutional-history, digitized-book, newspaper-index and genealogy-finding-aid searches could be tied to this 1835 Chicago person without relying on the name alone.",,,,,"""Elmira Fowler"" Chicago 1835 | ""Elmira Fowler"" Illinois genealogy",2026-08-31,Candidate and no-find decisions are bounded by the sources searched; name similarity alone was not accepted as identity evidence.,retain documented no-find; revisit only with new evidence,No candidate fact is asserted unless a source bridges the candidate to the 1835 Chicago record by more than name similarity.
T-0442,1,clarke_h_b,hh_clarke_h_b,H. B. Clarke,H. B. Clarke,newspaper_profile_unplaced,chicago_democrat_1833_1835; fergus_chicago_directory_1839,,,no_corroboration,unresolved / no safe external match,present (inferred),existing canonical household; composition not re-adjudicated in T-0442,hardware_merchant (attested),,,,,,,,,,"No reliable record found in the reviewed web, institutional-history, digitized-book, newspaper-index and genealogy-finding-aid searches could be tied to this 1835 Chicago person without relying on the name alone.",,,,,"""H. B. Clarke"" Chicago 1835 | ""H. B. Clarke"" Illinois genealogy",2026-08-31,Candidate and no-find decisions are bounded by the sources searched; name similarity alone was not accepted as identity evidence.,retain documented no-find; revisit only with new evidence,No candidate fact is asserted unless a source bridges the candidate to the 1835 Chicago record by more than name similarity.
